player_name,player_kills,player_dbno,player_assists,player_dmg,player_dist_ride,player_dist_walk,player_survive_time
XuChuanShuai,2.0,0.0,0.0,200.0,0.0,1254.52026,646.62
XueLeixiansheng,1.0,0.0,0.0,100.0,6259.985,3461.89087,1631.431
Xueyiyang,2.0,1.0,0.0,202.0,0.0,496.33493,335.926
Xw-M4A1,0.0,0.0,0.0,26.0,0.0,713.6957,762.0260000000003
XxDiegoxX_,1.0,1.0,0.0,180.0,0.0,4052.99072,1568.7579999999994
XxTehSloth,0.0,0.0,0.0,0.0,0.0,89.16787,120.754
Y-wei-,2.0,1.0,2.0,158.0,800.605164,3174.30957,1334.78
Y-zaodong,0.0,0.0,0.0,37.0,0.0,198.27153,172.96099999999996
Y664231960,0.0,0.0,0.0,5.0,3484.80054,3441.672,1675.178
YABANG911,0.0,0.0,0.0,0.0,0.0,125.50816299999998,126.238
YANAXY,1.0,0.0,1.0,186.0,4727.56738,2076.45044,1646.321
YANG880308,1.0,0.0,0.0,69.0,6348.47461,1464.03064,1519.38
YANGSH1,1.0,1.0,0.0,160.0,0.0,91.08887,147.58700000000005
YCLH,0.0,0.0,0.0,0.0,0.0,156.5796,154.076
YCxxLV,0.0,0.0,0.0,0.0,5475.759279999998,2883.24072,1537.0020000000006
YDD845120,1.0,0.0,0.0,41.0,0.0,462.85687300000006,421.126
YEWjj18cm,0.0,0.0,1.0,39.0,0.0,454.733368,293.462
YFHPYHU,1.0,1.0,1.0,165.0,2231.178,3281.31567,1581.79
YIHUANLuodi98k,2.0,0.0,0.0,209.0,637.33136,2644.58472,1374.543
YINHONG-,1.0,1.0,0.0,252.0,1701.57581,528.4755,486.377
YISAOYI,0.0,0.0,1.0,5.0,2833.109130000001,1616.97168,886.633
YJ85858,5.0,2.0,3.0,465.0,667.8974,3514.84131,1842.825
YJJ_LLLZZZ,0.0,0.0,0.0,90.0,4689.9682600000015,1174.15759,1031.553
YJpp,2.0,0.0,0.0,285.0,3111.31128,3064.75684,1466.062
YONG-TNT,2.0,2.0,1.0,121.0,454.536926,1357.18628,924.437
YOUKNOWMYDREAM,0.0,0.0,0.0,0.0,0.0,0.9484937,97.644
YQHP_Mengdi,1.0,1.0,0.0,2.0,0.0,1863.07849,998.492
YT-B500,0.0,0.0,0.0,40.0,0.0,382.266724,238.707
YTG517,0.0,0.0,0.0,82.0,0.0,106.908836,163.512
YUE-LONG,9.0,3.0,3.0,911.0,1568.15222,2932.37,1881.483
YUN96,0.0,0.0,0.0,7.0,1983.218,26.0716572,181.881
YUXIAOBAO_0,2.0,3.0,0.0,300.0,0.0,303.8226,362.203
YWWWWY,2.0,1.0,0.0,109.0,11.877821,1723.85547,927.276
YY-4864TIANyou,0.0,0.0,0.0,3.0,5973.24561,1734.01855,1132.958
YY-baobao,3.0,2.0,0.0,299.0,4789.253,2127.50122,1759.846
YY169211,3.0,2.0,0.0,277.0,2598.63745,2034.27222,1463.937
YY2464,4.0,2.0,6.0,425.0,3547.25244,3475.15186,1989.023
YYL37,0.0,0.0,0.0,0.0,5182.81836,3455.85474,1537.005
YYYYY_xiaoma,3.0,3.0,0.0,272.0,0.0,1323.51074,974.938
YYYYYxiaoyu,2.0,1.0,0.0,335.0,0.0,1276.08691,974.317
YYkejiangyou66,0.0,0.0,0.0,57.0,0.0,32.86202,90.912
YZ91,3.0,0.0,0.0,311.0,4506.60645,1877.57324,1762.244
YZN-M4,0.0,0.0,0.0,0.0,0.0,60.438076,107.092
YZX666888,0.0,0.0,0.0,54.0,0.0,120.018341,113.567
YZY0222,0.0,0.0,0.0,0.0,0.0,139.2615,110.932
YaHTo1,0.0,0.0,0.0,73.0,0.0,1073.0199,762.562
Ya_sheng_CHN,1.0,1.0,0.0,79.0,1111.67041,1831.2345,701.977
Yaio6-6,0.0,1.0,0.0,89.0,0.0,887.6555,473.414
Yam-Wei,0.5,0.0,0.0,20.0,0.0,96.369295,142.4975
Yan-nnnnnnnn,0.0,0.0,0.0,85.0,0.0,206.714691,305.2340000000001
Yan0008,0.0,0.0,0.0,114.0,1659.56262,1347.11316,617.846
YanXinLong007,0.0,0.0,0.0,0.0,0.0,3131.594730000001,1143.236
YangX1aoLong,0.0,0.0,0.0,0.0,0.0,55.9485245,130.637
YangXiong625,2.0,2.0,1.0,142.0,0.0,4452.089,1811.795
Yangminghan0,0.0,0.0,0.0,0.0,0.0,280.2492,173.905
Yanlh001,0.0,0.0,0.0,0.0,0.0,25.220171,94.683
Yanyan565,0.0,0.0,0.0,0.0,0.0,69.765686,124.096
Yasu0h,0.0,0.0,0.0,51.0,2816.235,1756.6167,1425.321
Ycv587,2.0,1.0,1.0,207.0,0.0,1616.32751,690.578
Ydsiszhangleida,0.0,0.0,0.0,21.0,2401.6106,899.426941,621.257
YellOwStare,1.0,0.0,0.0,166.0,0.0,158.094086,131.36
