match_id,team_id,team_placement
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100055,21
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100056,10
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100057,88
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100058,15
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100059,6
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100060,31
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100061,23
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100062,91
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100063,43
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100064,44
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100066,40
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100067,65
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100068,28
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100069,94
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100070,95
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100071,71
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100072,18
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100073,30
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100075,7
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100076,59
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100077,55
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100078,89
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100079,33
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100080,29
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100081,1
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100082,32
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100083,20
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100084,14
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100085,45
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100086,77
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100087,3
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100088,82
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100089,78
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100090,37
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100091,38
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100092,80
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100093,58
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100094,47
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100095,64
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100096,39
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100097,39
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100098,96
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100099,93
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100100,17
2U4GBNA0YmkBFFziCbNODl9vi45eKXWugAPqsOumE8TMwukQbxu24_9nTMOzet6q,100101,72
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,1,10
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,2,22
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,3,11
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,4,4
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,5,17
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,6,3
2U4GBNA0YmkPxTMs_MMoQu76zhwcy_mavEyajlmFDxJPA7sHVjIWe_ncOia0ZuC4,7,27
