,Unnamed: 0,date,game_size,match_id,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_name,player_survive_time,team_id,team_placement
21,10822,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,2,4471.7583,3256.95239,415,3,xuewenbi,1595.104,34,7
22,10823,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,3884.21851,3387.9040000000005,25,0,JIAN7878,1504.536,34,7
23,10824,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,617.3276,74,1,BOSS-66666,807.2239999999997,37,9
24,10825,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,0,3281.6059999999998,2421.92,177,1,4674657456456,1495.785,37,9
25,10826,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,47.57697,0,0,xiaolong6756,150.36700000000005,42,36
26,10827,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,61.69244770000001,199,2,SD18701850,764.5310000000003,42,36
27,10828,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,5229.26367,839.3847,92,0,juedishashen111,776.048,45,18
28,10829,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,4771.92969,1396.0769,85,0,Davebeckham,776.05,45,18
29,10830,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,2634.1740000000004,3939.6306200000004,229,1,wolaile2017,1226.223,49,12
30,10831,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,1963.48,4807.464,134,1,ningning113344,1226.226,49,12
31,10832,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,4272.655,1365.3125,31,0,LYcoolbrother,906.313,1,17
32,10833,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,3436.8894,1864.7020000000002,57,0,My-New-Broad,906.316,1,17
33,10834,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,119.40275600000001,62,0,LAJISHASINI,139.89600000000002,4,41
34,10835,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,152.5012,100,0,DARKCROW356,145.51,4,41
35,10836,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,6391.98828,1812.87878,16,0,TokyomuJ,1185.9189999999999,5,14
36,10837,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,5262.438,3017.96436,6,0,yj990611,1153.651,5,14
37,10838,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,32.86202,57,0,YYkejiangyou66,90.912,12,47
38,10839,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,5.028503,0,0,waite55kal,72.053,12,47
39,10840,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,0.0,0,0,kuangshakuang,78.943,18,48
40,10841,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,18.7598572,0,0,zghbshiyan,78.947,18,48
41,10842,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,1,0.0,561.857666,196,0,yoyofy,385.885,21,26
42,10843,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,557.7038,226,2,Minigun_Aziz,385.881,21,26
43,10844,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,418.7303,212,2,Luoxiansnb,449.314,28,23
44,10845,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,1,0.0,260.601837,126,1,tangwang123,366.477,28,23
45,10846,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,2,4,4073.397,3463.90527,447,5,Lychaiyoushei,1806.131,31,2
46,10847,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,4,1,4080.6,3836.1279999999997,772,7,Mephisto_z,1806.126,31,2
47,10848,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,17.253644899999998,83,0,zzhixiang,81.975,36,43
48,10849,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,2,0.0,70.94359,300,3,Wangyongyi,110.679,36,43
49,10850,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,1,0.0,618.2337650000002,133,0,PureKnighV,421.12699999999995,39,24
50,10851,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,462.85687300000006,41,1,YDD845120,421.126,39,24
51,10852,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,278.0292,97,1,zyw7777777,364.029,40,27
52,10853,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,264.109344,169,2,HYQ7777777,364.027,40,27
53,10854,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,3487.19629,72,1,Newkang,1094.55,41,15
54,10855,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,3877.6377,33,0,CoGheRoiNha,1153.504,41,15
55,10856,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,0,0.0,217.05127000000002,0,0,2991660903,156.842,44,39
56,10857,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,106.714706,119,1,Gy_XiaoFei,156.839,44,39
57,10858,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,46.78713,168,1,WeChatGG,150.886,46,40
58,10859,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,79.35746999999998,0,0,WWWWWWWWWWXVGBDC,147.981,46,40
59,10860,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,4541.65967,1223.0810000000001,20,0,ShaoJL,1306.943,48,10
60,10861,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,4302.1190000000015,1413.3429999999994,0,0,DUANJF,1306.947,48,10
61,10862,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,1,1298.96448,4296.082,294,2,STEVEN181,1602.1960000000001,2,6
62,10863,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,2,1298.0366199999999,4247.108,333,3,xiaoliangliang2,1602.193,2,6
63,10864,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,0,0.0,52.465022999999995,22,0,ShiQiYaING,110.318,7,42
64,10865,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,38.477066,120,2,naRi1-,114.28399999999999,7,42
65,10866,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,2,1,3775.16626,2023.86841,281,2,You_KING520,1806.269,8,1
66,10867,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,2,1,3874.25684,2255.821,129,2,F-F0F,1806.269,8,1
67,10868,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,10.0721645,57,0,19CENT,79.378,9,32
68,10869,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,2,0.0,189.72828700000002,345,4,TiDz333,223.132,9,32
69,10870,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,162.10231000000005,0,0,FlashJan,273.587,13,29
70,10871,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,263.4455,0,0,wusheng321,273.584,13,29
71,10872,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,3021.671630000001,4893.01758,20,0,wo66diyigebufu,1688.224,14,5
72,10873,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,2809.40186,4749.128,32,0,JD_SSDANYO,1661.5720000000001,14,5
73,10874,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,0.0,216.050369,100,0,xiongmao14,163.326,15,37
74,10875,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,241.82019,100,1,beilunji,163.33,15,37
75,10876,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,3296.37354,904.1911,152,1,Gs-Gmc,713.7810000000003,17,11
76,10877,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,1,6311.30371,1627.9620000000002,280,2,ChinaMXG,1232.991,17,11
77,10878,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,2,0,4317.849,2968.2146,212,1,julierking,1785.839,24,3
78,10879,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,2,5173.1923799999995,2337.01563,314,4,lkhhnahha,1717.8529999999994,24,3
79,10880,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,255.737885,142,1,JJ315,162.826,29,38
80,10881,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,1,0,0.0,130.923279,55,1,CCTV-DADIE,157.787,29,38
81,10882,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,49.8941078,77,0,KingGanQuess,109.324,30,44
82,10883,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,0.0,92.5111847,0,0,aressdor,109.321,30,44
83,10884,2018-01-10T10:53:36+0000,48,2U4GBNA0YmlUznIHSeUCx8X4mf0OhFJgctm_y_sJrl0f0pup5NZehb9nE9S2g7CX,tpp,2,0,0,6366.30957,1098.5434599999999,96,0,ChinaDragonMrLi,989.447,33,16
