killed_by
AKM
AUG
AWM
Bluezone
Boat
Buggy
Crossbow
Crowbar
DP-28
Dacia
Down and Out
Drown
Falling
Grenade
Groza
Hit by Car
Kar98k
M16A4
M24
M249
M416
Machete
Micro UZI
Mini 14
Mk14
Motorbike
Motorbike (SideCar)
P18C
P1911
P92
Pan
Pickup Truck
Punch
R1895
R45
RedZone
S12K
S1897
S686
SCAR-L
SKS
Sickle
Tommy Gun
UMP9
Uaz
VSS
Vector
Win94
death.ProjMolotov_DamageField_C
death.WeapSawnoff_C
