,player_name,player_kills,player_dbno,player_assists,player_dmg,player_dist_ride,player_dist_walk,player_survive_time
1367,KrisWu_,2 ,3 ,0 ,275 ,0 ,2986 ,1068 
1368,Kris_Gs,0 ,0 ,0 ,0 ,0 ,730 ,627 
1369,Krolo1,1 ,1 ,0 ,92 ,0 ,451 ,313 
1370,KryptoniteV,2 ,1 ,3 ,274 ,2551 ,1704 ,1658 
1371,Ksg_dream,0 ,0 ,0 ,0 ,0 ,149 ,95 
1372,Ksurcyi,0 ,0 ,0 ,0 ,0 ,437 ,509 
1373,Ku1iJ1an,7 ,2 ,0 ,562 ,4158 ,2452 ,1820 
1374,KuMingYY521,0 ,0 ,0 ,84 ,1044 ,2595 ,1460 
1375,KuaiShou-jiachen,0 ,0 ,0 ,0 ,0 ,0 ,825 
1376,KuartzzZ,0 ,0 ,0 ,0 ,0 ,10 ,138 
1377,Kurenace,1 ,1 ,0 ,100 ,0 ,87 ,178 
1378,KvvZzz,0 ,0 ,0 ,0 ,0 ,32 ,111 
1379,Kyren,6 ,4 ,0 ,525 ,4372 ,7381 ,1579 
1380,L1feGoeson,2 ,2 ,2 ,344 ,1562 ,3852 ,1718 
1381,L1ttleSparrow,0 ,0 ,0 ,38 ,0 ,96 ,140 
1382,L3VI-S6,2 ,0 ,0 ,192 ,2414 ,446 ,562 
1383,LAJISHASINI,0 ,0 ,0 ,62 ,0 ,119 ,140 
1384,LANSETONGHUA,1 ,0 ,2 ,39 ,525 ,4946 ,1590 
1385,LANYANGTABABA,2 ,0 ,0 ,199 ,0 ,4874 ,1560 
1386,LB_yang,1 ,1 ,0 ,100 ,0 ,401 ,193 
1387,LCCXXX,0 ,0 ,0 ,0 ,0 ,0 ,122 
1388,LC_WEIYI,1 ,1 ,0 ,210 ,0 ,1474 ,1108 
1389,LC_lcwz,4 ,2 ,0 ,448 ,4067 ,1718 ,1032 
1390,LDS92929,0 ,0 ,0 ,0 ,3073 ,1890 ,1051 
1391,LEGOTachanka_7,0 ,0 ,0 ,0 ,0 ,0 ,211 
1392,LEIGe1369,0 ,0 ,0 ,0 ,0 ,643 ,839 
1393,LEVENY,1 ,1 ,0 ,88 ,1891 ,2089 ,566 
1394,LF1234qwe,0 ,0 ,0 ,88 ,0 ,146 ,136 
1395,LFuckg2,0 ,1 ,0 ,100 ,0 ,139 ,220 
1396,LG199406,0 ,0 ,0 ,0 ,0 ,180 ,196 
1397,LGD_LC,0 ,0 ,1 ,8 ,2041 ,1533 ,704 
1398,LIANSHULIN,3 ,2 ,0 ,300 ,0 ,148 ,207 
1399,LIAOYUERU,6 ,4 ,0 ,686 ,0 ,665 ,432 
1400,LIAYIA,0 ,0 ,0 ,0 ,0 ,560 ,398 
1401,LIFEIVE,2 ,0 ,0 ,207 ,1697 ,947 ,1868 
1402,LIJIALONG123456,0 ,1 ,0 ,178 ,0 ,414 ,489 
